ticker,gics,sector,company,address
CLX,30,Consumer Staples,Clorox Co.,"Oakland, California"
COST,30,Consumer Staples,Costco Co.,"Issaquah, Washington"
CPB,30,Consumer Staples,Campbell Soup,"Camden, New Jersey"
CVS,30,Consumer Staples,CVS Caremark Corp.,"Woonsocket, Rhode Island"
DF,30,Consumer Staples,Dean Foods,"Dallas, Texas"
DPS,30,Consumer Staples,Dr Pepper Snapple Group,"Plano, Texas"
EL,30,Consumer Staples,Estee Lauder Cos.,"New York, New York"
GIS,30,Consumer Staples,General Mills,"Golden Valley, Minnesota"
HNZ,30,Consumer Staples,Heinz,"Pittsburgh, Pennsylvania"
HRL,30,Consumer Staples,Hormel Foods Corp.,"Austin, Minnesota"
HSY,30,Consumer Staples,The Hershey Company,"Hershey, Pennsylvania"
K,30,Consumer Staples,Kellogg Co.,"Battle Creek, Michigan"
KFT,30,Consumer Staples,Kraft Foods Inc-A,"Northfield, Illinois"
KMB,30,Consumer Staples,Kimberly-Clark,"Irving, Texas"
KO,30,Consumer Staples,Coca Cola Co.,"Atlanta, Georgia"
KR,30,Consumer Staples,Kroger Co.,"Cincinnati, Ohio"
LO,30,Consumer Staples,Lorillard Inc.,"Greensboro, North Carolina"
MJN,30,Consumer Staples,Mead Johnson,"Glenview, Illinois"
MKC,30,Consumer Staples,McCormick & Co.,"Sparks, Maryland"
MNST,30,Consumer Staples,Monster Beverage,"Corona, California"
MO,30,Consumer Staples,Altria Group Inc,"Richmond, Virginia"
PEP,30,Consumer Staples,PepsiCo Inc.,"Purchase, New York"
PG,30,Consumer Staples,Procter & Gamble,"Cincinnati, Ohio"
PM,30,Consumer Staples,Philip Morris International,"New York, New York"
RAI,30,Consumer Staples,Reynolds American Inc.,"Winston-Salem, North Carolina"
SJM,30,Consumer Staples,Smucker,"Orrville, Ohio"
STZ,30,Consumer Staples,Constellation Brands,"Victor, New York"
SWY,30,Consumer Staples,Safeway Inc.,"Pleasanton, California"
SYY,30,Consumer Staples,Sysco Corp.,"Houston, Texas"
TAP,30,Consumer Staples,Molson Coors Brewing Company,"Denver, Colorado"
TSN,30,Consumer Staples,Tyson Foods,"Springdale, Arkansas"
WAG,30,Consumer Staples,Walgreen Co.,"Deerfield, Illinois"
WFM,30,Consumer Staples,Whole Foods Market,"Austin, Texas"
WMT,30,Consumer Staples,Wal-Mart Stores,"Bentonville, Arkansas"
A,35,Health Care,Agilent Technologies Inc,"Santa Clara, California"
ABC,35,Health Care,AmerisourceBergen Corp,"Chesterbrook, Pennsylvania"
ABT,35,Health Care,Abbott Laboratories,"North Chicago, Illinois"
AET,35,Health Care,Aetna Inc,"Hartford, Connecticut"
AGN,35,Health Care,Allergan Inc,"Irvine, California"
ALXN,35,Health Care,Alexion Pharmaceuticals,"Cheshire, Connecticut"
AMGN,35,Health Care,Amgen Inc,"Thousand Oaks, California"
BAX,35,Health Care,Baxter International Inc.,"Deerfield, Illinois"
BCR,35,Health Care,C.R. Bard Inc.,"Murray Hill, New Jersey"
BDX,35,Health Care,Becton Dickinson,"Franklin Lakes, New Jersey"
BIIB,35,Health Care,BIOGEN IDEC Inc.,"Weston, Massachusetts"
BMY,35,Health Care,Bristol-Myers Squibb,"New York, New York"
BSX,35,Health Care,Boston Scientific,"Natick, Massachusetts"
CAH,35,Health Care,Cardinal Health Inc.,"Dublin, Ohio"
CELG,35,Health Care,Celgene Corp.,"Summit, New Jersey"
CERN,35,Health Care,Cerner,"North Kansas City, Missouri"
CFN,35,Health Care,Carefusion,"San Diego, California [2]"
CI,35,Health Care,CIGNA Corp.,"Philadelphia, Pennsylvania"
COV,35,Health Care,Covidien plc,"Dublin, Ireland"
CVH,35,Health Care,Coventry Health Care Inc.,"Bethesda, Maryland"
DGX,35,Health Care,Quest Diagnostics,"Madison, New Jersey"
DVA,35,Health Care,DaVita Inc.,"Denver, Colorado"
ESRX,35,Health Care,Express Scripts,"Cool Valley, Missouri"
EW,35,Health Care,Edwards Lifesciences,"Irvine, California"
FRX,35,Health Care,Forest Laboratories,"New York, New York"
GILD,35,Health Care,Gilead Sciences,"Foster City, California"
HSP,35,Health Care,Hospira Inc.,"Lake Forest, Illinois"
HUM,35,Health Care,Humana Inc.,"Louisville, Kentucky"
ISRG,35,Health Care,Intuitive Surgical Inc.,"Sunnyvale, California"
JNJ,35,Health Care,Johnson & Johnson,"New Brunswick, New Jersey"
LH,35,Health Care,Laboratory Corp. of America Holding,"Burlington, North Carolina"
LIFE,35,Health Care,Life Technologies,"Carlsbad, California"
LLY,35,Health Care,Eli Lilly & Co.,"Indianapolis, Indiana"
MCK,35,Health Care,McKesson Corp.,"San Francisco, California"
MDT,35,Health Care,Medtronic Inc.,"Fridley, Minnesota"
MRK,35,Health Care,Merck & Co.,"Whitehouse Station, New Jersey"
MYL,35,Health Care,Mylan Inc.,"Canonsburg, Pennsylvania"
PDCO,35,Health Care,Patterson Companies,"St. Paul, Minnesota"
PFE,35,Health Care,Pfizer Inc.,"New York, New York"
PKI,35,Health Care,PerkinElmer,"Waltham, Massachusetts"
PRGO,35,Health Care,Perrigo,"Allegan, Michigan"
STJ,35,Health Care,St Jude Medical,"Little Canada, Minnesota"
SYK,35,Health Care,Stryker Corp.,"Kalamazoo, Michigan"
